系列,系列グループ,科目コード,科目名,単位数,年次,開講期,単位区分,週コマ数,講義区分,学修 ･教育到達目標,GPA:4,GPA:3,GPA:2,test,other
工学部共通,,4385000,受入型グローバルＰＢＬ１,2,1,前期・後期 ※,○,2,演習,G,95,5,0,0,100
工学部共通,,4385001,受入型グローバルＰＢＬ２,2,1,前期・後期 ※,○,2,演習,G,100,0,0,0,100
工学部共通,,4185000,国際インターンシップ１,2,2,前期・後期 ※,○,2,演習,G,100,0,0,0,100
工学部共通,,4185602,国際インターンシップ２,2,2,前期・後期 ※,○,2,演習,G,0,0,0,-1,-1
工学部共通,,4185603,国際インターンシップ３,2,2,前期・後期 ※,○,2,演習,G,0,0,0,-1,-1
工学部共通,,4185604,国際インターンシップ４,2,2,前期・後期 ※,○,2,演習,G,0,0,0,-1,-1
専門,,L0780200,コンピュータ科学序説,2,1,前期,◎,1,講義,B-1,49.1,38.2,10,100,0
専門,,L0987000,情報工学通論,2,1,後期,◎,1,講義,"F-1, G",92.3,3.7,1.8,0,100
専門,,L0910500,離散数学１,2,1,前期,◎,1,講義,B-2,72.3,17,9.8,40,60
専門,,L0911300,離散数学２,2,1,後期,○,1,講義,B-2,91.5,6.6,0.9,100,0
専門,,L0403100,プログラミング入門１,2,1,前期,◎,2,演習,"C-2, A",70.5,24.1,4.5,10,90
専門,,L0404900,プログラミング入門２,2,1,後期,◎,2,演習,C-2,94.4,0,5.6,87,13
専門,,L0310800,コンピュータアーキテクチャ,2,1,後期,◎,1,講義,B-1,63,17.6,14.3,65,35
専門,,L0692900,データ構造とアルゴリズム１,2,2,前期,◎,1,講義,B-3,85.2,10.9,1.6,34,66
専門,,L0694500,データ構造とアルゴリズム２,2,2,後期,○,1,講義,B-3,79.2,10.8,6.9,60,40
専門,,L0845300,基礎情報演習１Ａ,2,2,前期,◎,2,演習,C-2,72.7,10.2,10.2,0,100
専門,,L0987500,基礎情報演習１Ｂ,2,2,前期,◎,1,演習,C-2,64.5,22.5,9.4,30,70
専門,,L0846100,基礎情報演習２Ａ,2,2,後期,◎,2,演習,C-2,75.4,12.7,8.7,0,100
専門,,L0861000,基礎情報演習２Ｂ,2,2,後期,◎,2,演習,C-2,83.2,12,2.4,45,55
専門,,L0480900,Ｈ．Ｃ．インタラクション,2,2,前期,○,1,講義,B-5,23,63.1,13.1,0,100
専門,,L0950100,オペレーティングシステム,2,2,前期,○,1,講義,B-3,62.6,16.3,19.5,20,80
専門,,L0365200,ディジタルメディア処理,2,2,後期,○,1,講義,B-5,58.3,17.4,13,0,100
専門,,L0670500,論理回路,2,1,後期,△,1,講義,B-4,29.7,21.6,37.8,20,80
専門,,L0980800,数理論理学,1,2,前期,△,1,講義,B-2,57,24.7,12.9,0,100
専門,,L0985700,信号処理,2,2,前期,△,1,講義,"B-2, B-5",9.3,14.8,35.2,75,25
専門,,L0291000,コンピュータ通信,2,2,後期,△,1,講義,B-6,74.8,6.7,5,50,50
専門,,L0920400,形式言語とオートマトン,2,2,後期,△,1,講義,B-1,61.2,17.4,10.7,0,100
